num lon lat alt item
1 -122.1044523591427 37.44977388233452 0.0 16495
2 -122.1044427985434 37.44975323547845 0.0 16501
3 -122.104433570241 37.449733281284 0.0 16507
4 -122.1044355348572 37.44970995331261 0.0 16514
5 -122.104444066036 37.4496897561572 0.0 16520
6 -122.1044599869428 37.44966731732716 0.0 16528
7 -122.1044795143628 37.44964599487437 0.0 16536
8 -122.1045037397316 37.4496310704522 0.0 16543
9 -122.1045252550638 37.44961891917872 0.0 16549
10 -122.1045442324341 37.44961269098248 0.0 14305
