field.gps.latitude,field.gps.longitude,field.gps.altitude
39.9558065007,116.314436981,54.776
39.9558065077,116.314436992,54.776
39.9558065137,116.314436978,54.774
39.9558064473,116.314436986,54.785
39.9558065035,116.314436961,54.784
39.9558064982,116.314436971,54.781
39.9558064715,116.314436986,54.784
39.9558064838,116.314436981,54.78
39.9558064755,116.314436964,54.783
39.955806517,116.314436996,54.773
39.9558064965,116.31443696,54.78
39.9558064693,116.314436971,54.781
39.9558065078,116.314436967,54.778
39.9558064738,116.314436979,54.776
39.9558064533,116.314437005,54.78
39.9558064737,116.314436972,54.779
39.9558064597,116.314436993,54.779
39.9558064947,116.314436989,54.774
39.9558064622,116.314436981,54.778
39.9558064755,116.314436998,54.776
39.9558064685,116.314436984,54.776
39.9558064832,116.314436986,54.775
39.9558064642,116.31443701,54.777
39.9558065312,116.314436943,54.771
39.9558064977,116.314436982,54.772
39.955806539,116.31443696,54.768
39.9558065302,116.314436959,54.772
39.9558065115,116.314436962,54.774
39.955806546,116.314436956,54.767
39.955806518,116.314436961,54.772
39.9558065098,116.314436984,54.769
39.955806564,116.314437001,54.771
39.9558065237,116.31443699,54.77
39.9558065302,116.314436966,54.769
39.9558064912,116.314436841,54.766
39.9558064528,116.314436858,54.774
39.9558064597,116.314436831,54.77
39.9558064332,116.314436831,54.779
39.9558064828,116.314436843,54.769
39.955806484,116.314436854,54.765
39.9558064672,116.314436845,54.774
39.9558065027,116.314436837,54.769
39.9558064823,116.314436864,54.773
39.9558064273,116.314436822,54.771
39.9558064285,116.314436806,54.78
39.9558064615,116.314436829,54.776
39.9558064313,116.314436788,54.78
39.955806448,116.314436808,54.778
39.9558063827,116.314436829,54.779
39.955806386,116.314436808,54.786
39.9558064662,116.314436828,54.77
39.9558064583,116.314436784,54.778
39.9558064498,116.314436824,54.772
39.9558064452,116.314436795,54.778
39.9558064703,116.314436853,54.771
39.9558063687,116.314436825,54.793
39.9558064105,116.314436805,54.785
39.9558064265,116.314436861,54.78
39.9558063848,116.314436804,54.794
39.9558063533,116.314436803,54.795
39.9558063968,116.314436836,54.786
39.9558063932,116.314436835,54.784
39.9558063723,116.314436826,54.786
39.9558065133,116.314437035,54.778
39.9558064363,116.314436947,54.788
39.9558064753,116.314437007,54.779
39.9558064727,116.31443698,54.782
39.9558064737,116.31443695,54.783
39.9558064498,116.314436963,54.79
39.9558065035,116.314436982,54.787
39.9558064573,116.314437,54.782
39.9558065147,116.314437034,54.769
39.955806522,116.314437044,54.778
39.9558064948,116.314436931,54.778
39.9558065345,116.314437009,54.766
39.955806535,116.314436985,54.77
39.955806511,116.314437002,54.768
39.955806529,116.314436997,54.767
39.9558064837,116.314436956,54.779
39.9558065115,116.314436987,54.773
39.955806462,116.314436947,54.784
39.9558064713,116.314436948,54.786
39.955806512,116.314436935,54.776
39.955806503,116.314436919,54.772
39.9558065167,116.314436895,54.766
39.9558065237,116.3144369,54.765
39.9558065343,116.314436914,54.764
39.955806499,116.314436905,54.769
39.9558064987,116.314436885,54.768
39.9558065502,116.314436915,54.765
39.9558064765,116.314436906,54.77
39.9558065143,116.31443689,54.775
39.955806502,116.314436907,54.771
39.9558065005,116.31443693,54.773
39.9558064887,116.314436908,54.771
39.9558064898,116.314436931,54.774
39.9558064533,116.314436901,54.777
39.9558064908,116.31443691,54.774
39.9558064832,116.314436935,54.769
39.9558064955,116.314436887,54.777
39.955806501,116.314436895,54.77
39.9558064862,116.314436947,54.772
39.9558065398,116.314436906,54.765
39.9558064898,116.314436945,54.77
39.9558064582,116.314436939,54.787
39.955806493,116.314436963,54.778
39.9558064475,116.314436969,54.78
39.9558064585,116.314436946,54.78
39.9558064263,116.314436956,54.788
39.9558064398,116.314436948,54.785
39.955806445,116.314436959,54.785
39.9558064235,116.314436966,54.789
39.9558064212,116.314436931,54.786
39.9558065263,116.314436918,54.768
39.9558065145,116.314436902,54.771
39.9558065037,116.314436902,54.775
39.9558065335,116.314436888,54.77
39.955806521,116.314436904,54.766
39.955806537,116.31443694,54.773
39.955806527,116.314436905,54.77
39.9558065317,116.314436909,54.772
39.9558065468,116.314436918,54.763
39.9558065257,116.314436921,54.771
39.9558064702,116.314436974,54.787
39.9558064807,116.314437004,54.779
39.9558064658,116.314436987,54.788
39.9558064898,116.314437007,54.775
39.9558064765,116.314437011,54.783
39.9558064573,116.314436985,54.788
39.9558064878,116.314437019,54.779
39.9558064825,116.314436992,54.781
39.9558064433,116.314437001,54.786
39.9558064548,116.314437001,54.781
39.9558064862,116.314436942,54.777
39.9558064635,116.314436981,54.779
39.9558065178,116.314436995,54.775
39.9558064788,116.314436958,54.777
39.9558064778,116.314436982,54.782
39.955806459,116.314436961,54.778
39.9558065037,116.314436977,54.773
39.9558065115,116.314436993,54.767
39.9558064755,116.31443695,54.78
39.9558064775,116.314436978,54.775
39.9558065295,116.314436946,54.765
39.9558065265,116.314436955,54.768
39.9558064752,116.31443691,54.775
39.9558065205,116.314436867,54.77
39.9558065228,116.314436752,54.77
39.955806507,116.314436651,54.77
39.9558065347,116.314436531,54.769
39.9558065003,116.314436327,54.767
39.955806506,116.314436079,54.769
39.955806521,116.314435785,54.772
39.9558064273,116.31443541,54.795
39.955806496,116.314434889,54.773
39.9558064647,116.314434339,54.792
39.9558065142,116.314433736,54.787
39.9558065732,116.314433059,54.783
39.9558065328,116.31443235,54.787
39.9558064918,116.314431538,54.794
39.955806487,116.314430788,54.792
39.9558065053,116.314429925,54.795
39.9558064433,116.314428953,54.804
39.9558063498,116.314427954,54.78
39.9558063563,116.314426924,54.795
39.9558062808,116.314426043,54.797
39.9558064527,116.314424648,54.783
39.955806288,116.314423571,54.793
39.9558063295,116.314422207,54.786
39.9558062822,116.314420962,54.818
39.955806301,116.31441948,54.784
39.9558062973,116.314418006,54.792
39.955806264,116.31441643,54.77
39.955806264,116.314414455,54.79
39.955806178,116.314412661,54.798
39.9558061722,116.314410903,54.803
39.9558061385,116.314409,54.794
39.9558060803,116.31440682,54.774
39.9558058395,116.31440486,54.806
39.9558059012,116.314402694,54.777
39.955805732,116.314400467,54.784
39.955805492,116.314398147,54.794
39.9558054252,116.314395708,54.773
39.9558052185,116.314393253,54.773
39.9558049932,116.314390833,54.783
39.9558047935,116.314388304,54.788
39.9558046218,116.314385634,54.785
39.9558044327,116.314383004,54.811
39.9558041915,116.314380334,54.783
39.9558038415,116.314377521,54.813
39.9558037742,116.31437465,54.78
39.955803631,116.314371954,54.748
39.9558031943,116.31436873,54.702
39.9558028955,116.314365968,54.793
39.9558026697,116.314363261,54.794
39.9558023378,116.314359975,54.795
39.9558019547,116.314357054,54.822
39.9558016328,116.314353817,54.799
39.9558013398,116.31435023,54.82
39.9558010035,116.314346565,54.801
39.9558005093,116.314342794,54.787
39.9558001497,116.31433871,54.798
39.9557996267,116.314334529,54.736
39.9557990232,116.314330013,54.819
39.955798817,116.314325747,54.725
39.9557981578,116.314320989,54.793
39.9557976172,116.314316084,54.801
39.9557972428,116.314311088,54.82
39.9557967312,116.314306222,54.792
39.9557963758,116.314301033,54.802
39.9557959053,116.314296188,54.735
39.9557954522,116.314290841,54.722
39.9557949577,116.314285479,54.767
39.9557945977,116.314279986,54.76
39.9557940907,116.314274062,54.81
39.9557936522,116.314268364,54.803
39.9557934705,116.314262543,54.823
39.955793115,116.314256568,54.803
39.955792782,116.314250521,54.806
39.955792497,116.314244312,54.791
39.9557922017,116.314237931,54.787
39.9557918953,116.314231513,54.816
39.9557917648,116.314224985,54.789
39.9557915768,116.31421839,54.817
39.955791327,116.31421157,54.817
39.9557911902,116.314204596,54.824
39.9557910855,116.314197721,54.82
39.9557909285,116.314190625,54.812
39.9557908908,116.314183279,54.803
39.955790823,116.31417598,54.783
39.9557909103,116.314168583,54.792
39.9557908588,116.314161082,54.807
39.955790799,116.314153476,54.803
39.9557906808,116.31414584,54.786
39.9557908027,116.314137997,54.775
39.9557906832,116.314130152,54.824
39.9557906402,116.314122081,54.822
39.9557906342,116.314113888,54.802
39.9557905738,116.314105726,54.812
39.9557906788,116.314097392,54.793
39.9557906693,116.314088917,54.786
39.955790572,116.314080431,54.823
39.9557905637,116.314071823,54.838
39.9557906192,116.314063249,54.834
39.9557906795,116.314054633,54.843
39.9557907423,116.314045918,54.839
39.9557908042,116.314037149,54.832
39.9557908608,116.314028385,54.846
39.9557910043,116.314019456,54.847
39.9557909922,116.314010605,54.837
39.9557911947,116.314001534,54.837
39.9557913327,116.313992545,54.841
39.955791483,116.313983442,54.833
39.9557917165,116.313974224,54.818
39.9557917795,116.313965015,54.84
39.9557919387,116.313955686,54.845
39.9557921498,116.313946297,54.828
39.9557923207,116.313936801,54.832
39.955792441,116.313927335,54.854
39.9557926462,116.313917753,54.828
39.9557929778,116.313908106,54.847
39.9557931995,116.313898413,54.848
39.9557934377,116.313888624,54.835
39.9557939537,116.313878752,54.789
39.955794112,116.313868883,54.778
39.9557943917,116.313858982,54.788
39.955794683,116.313849002,54.771
39.9557949578,116.313839007,54.773
39.9557952287,116.313828848,54.767
39.9557955243,116.313818687,54.782
39.9557958303,116.313808442,54.778
39.9557961607,116.313798158,54.788
39.9557964635,116.313787864,54.79
39.9557965543,116.313777559,54.785
39.9557968583,116.313767019,54.782
39.9557972223,116.313756564,54.794
39.955797523,116.313746068,54.791
39.955797867,116.313735401,54.802
39.9557982393,116.313724724,54.793
39.9557985638,116.313714035,54.804
39.9557988543,116.313703233,54.794
39.9557992008,116.313692327,54.802
39.9557995277,116.313681433,54.797
39.9557998692,116.313670606,54.829
39.9558002185,116.313659503,54.802
39.9558004915,116.313648464,54.812
39.9558008767,116.31363728,54.801
39.9558012515,116.313626089,54.783
39.9558015418,116.313614857,54.804
39.9558019152,116.313603666,54.84
39.9558022927,116.313592165,54.785
39.955802649,116.313580776,54.792
39.9558029765,116.313569281,54.788
39.9558033682,116.313557712,54.79
39.955803704,116.313546111,54.814
39.9558040222,116.313534466,54.805
39.955804339,116.313522758,54.801
39.9558046988,116.313510976,54.801
39.9558050255,116.313499225,54.808
39.9558053952,116.313487354,54.785
39.9558057838,116.313475409,54.796
39.9558061212,116.313463438,54.81
39.9558064712,116.313451467,54.814
39.9558067442,116.313439329,54.797
39.9558071145,116.313427165,54.809
39.9558074933,116.313415109,54.818
39.9558077952,116.313402737,54.795
39.9558081522,116.313390467,54.807
39.9558084557,116.313378103,54.802
39.9558088288,116.313365714,54.817
39.9558092145,116.313353189,54.806
39.9558095482,116.313340651,54.803
39.955809964,116.313327968,54.799
39.9558104005,116.313315198,54.849
39.9558107802,116.313302579,54.854
39.9558111162,116.313289745,54.827
39.9558115477,116.31327684,54.825
39.9558119067,116.313264035,54.835
39.9558122885,116.313251089,54.831
39.9558127477,116.313238042,54.824
39.9558130367,116.313225065,54.836
39.955813464,116.313211961,54.828
39.9558138328,116.313198975,54.816
39.955814246,116.313185814,54.816
39.9558145622,116.313172781,54.786
39.9558150543,116.313159551,54.776
39.9558154075,116.313146321,54.785
39.9558158713,116.313133075,54.765
39.9558162665,116.313119766,54.779
39.9558166983,116.313106384,54.799
39.9558171692,116.313092986,54.797
39.9558176305,116.313079522,54.783
39.9558180102,116.313066011,54.791
39.9558185018,116.31305256,54.799
39.955819019,116.313038921,54.795
39.9558194382,116.313025269,54.812
39.9558199305,116.313011638,54.793
39.9558204203,116.312997988,54.814
39.9558208692,116.312984195,54.81
39.9558214088,116.312970444,54.804
39.9558218352,116.312956503,54.81
39.9558223848,116.312942668,54.804
39.9558227735,116.312928802,54.804
39.9558232788,116.312914718,54.814
39.9558236627,116.312900722,54.803
39.955824066,116.312886694,54.804
39.9558246038,116.312872602,54.816
39.9558249433,116.31285845,54.799
39.9558253593,116.312844275,54.798
39.955825769,116.312830088,54.793
39.9558261335,116.312815825,54.788
39.9558265138,116.312801512,54.791
39.9558268182,116.312787222,54.792
39.9558271342,116.312772916,54.791
39.9558274768,116.312758655,54.782
39.9558277045,116.31274433,54.78
39.9558279998,116.312729993,54.792
39.9558282157,116.312715751,54.801
39.9558285022,116.312701472,54.8
39.9558287037,116.312687191,54.8
39.9558290273,116.312673035,54.788
39.9558292835,116.312658802,54.788
39.9558295422,116.312644617,54.792
39.9558297593,116.312630455,54.803
39.9558299997,116.312616411,54.805
39.9558302917,116.31260241,54.813
39.9558305595,116.312588457,54.806
39.955830845,116.312574605,54.812
39.9558311955,116.312560975,54.801
39.9558314805,116.312547335,54.803
39.9558318335,116.312533837,54.801
39.955832103,116.312520396,54.796
39.9558324942,116.312507125,54.804
39.9558327825,116.312493972,54.784
39.9558331042,116.312480871,54.783
39.9558335055,116.312467969,54.778
39.9558338245,116.312455127,54.779
39.955834109,116.312442419,54.781
39.95583451,116.312429845,54.775
39.9558348233,116.312417346,54.779
39.9558351842,116.312404983,54.761
39.9558354508,116.312392738,54.769
39.9558358562,116.312380572,54.768
39.955836163,116.312368468,54.777
39.955836392,116.312356498,54.782
